timestamp,exercise,video_name,frame_index,timestamp_ms,l_hip_to_line,r_hip_to_line,l_knee_to_line,r_knee_to_line,l_ear_to_l_sh,r_ear_to_r_sh,label
2026-06-06T15:21:39.542473,pushup,good 1 flip rot-10.mp4,72,3000,0.015529841393249842,0.00611944174528252,0.05206550582958481,0.054524614054424415,0.10305175652023649,0.1323804204553488,1
2026-06-06T15:21:41.127892,pushup,good 1 flip rot-10.mp4,136,5666,0.005955939828874785,0.01578526915926493,0.05190419965936529,0.026429773129820155,0.0909675895602358,0.1229635458481979,1
2026-06-06T15:21:42.523752,pushup,good 1 flip rot-10.mp4,193,8041,0.0172304957367137,0.004283623842949861,0.04550559287696734,0.04514443077671148,0.10350513334543954,0.13151616908513675,1
2026-06-06T15:21:43.979515,pushup,good 1 flip rot-10.mp4,252,10500,0.004631912400746262,0.005134245583162717,0.06059957823850552,0.041805576764909966,0.09691137272398984,0.13391198991758801,1
2026-06-06T15:21:45.624917,pushup,good 1 flip rot-10.mp4,320,13333,0.0031328261116726477,0.0002555223124444286,0.061723850921163746,0.04422857491130284,0.10246579430773202,0.12795778828590298,1
2026-06-06T15:21:46.971138,pushup,good 1 flip rot-10.mp4,376,15666,0.01707591175321682,0.00958729714028582,0.054259165267758196,0.04987371670496901,0.10908406274860258,0.1284492786652368,1
2026-06-06T15:21:48.612915,pushup,good 1 flip rot-10.mp4,444,18500,0.010604541244071102,0.0049000321878904535,0.04908946343369084,0.03028749641046692,0.10057736358788819,0.12844495197769626,1
2026-06-06T15:21:50.126081,pushup,good 1 flip rot-10.mp4,506,21083,0.004867068713302473,0.008567889405407265,0.04217207790758813,0.02374434339015647,0.10074535811548838,0.12368743333695086,1
2026-06-06T15:21:51.588705,pushup,good 1 flip rot-10.mp4,567,23625,0.017229053532567335,0.010153355569684247,0.0514143239966999,0.052574180371000846,0.10318506302925982,0.12439448334853039,1
2026-06-06T15:21:53.102526,pushup,good 1 flip rot-10.mp4,629,26208,0.015854513646470877,0.0030619837500546793,0.041765116737403796,0.03407720725243898,0.09884291443264728,0.13456814457196234,1
2026-06-06T15:21:56.079210,pushup,good 1 flip rot-5.mp4,71,10002958,0.010932486880953789,0.023158442995623016,0.05764795759101102,0.10281182847204323,0.108445795644149,0.1278629286608962,1
2026-06-06T15:21:57.655378,pushup,good 1 flip rot-5.mp4,136,10005666,0.006526356090478725,0.009470151537679675,0.061740564192093055,0.04244976941384562,0.0939880503344746,0.12520799580053085,1
2026-06-06T15:21:59.019624,pushup,good 1 flip rot-5.mp4,193,10008041,0.02257239525211052,0.017259931247682967,0.05582137299291338,0.11430207738032246,0.09881971817664702,0.12810602387670694,1
2026-06-06T15:22:00.467185,pushup,good 1 flip rot-5.mp4,252,10010500,0.003110614985226957,0.006592319101741405,0.056540350437565196,0.03123814658177245,0.10099018440520562,0.1299464985588911,1
2026-06-06T15:22:02.106183,pushup,good 1 flip rot-5.mp4,320,10013333,0.008457475520973753,0.0012492927285117025,0.0625720970082086,0.0526136567497823,0.10292163427579906,0.12633351760394385,1
2026-06-06T15:22:03.443183,pushup,good 1 flip rot-5.mp4,376,10015666,0.012783615212509893,0.01636692533754046,0.05825228243554136,0.02912060814836967,0.10780195422783354,0.12985275839324237,1
2026-06-06T15:22:05.085734,pushup,good 1 flip rot-5.mp4,444,10018500,0.01185540637768485,0.001287505678353572,0.06444022422247338,0.0433458427459054,0.10397585004987478,0.1252151469225216,1
2026-06-06T15:22:06.586954,pushup,good 1 flip rot-5.mp4,506,10021083,0.0038186867715198393,0.017820594682975935,0.05528196014575076,0.027312857784933108,0.09100428587953328,0.11775746286336093,1
2026-06-06T15:22:08.056914,pushup,good 1 flip rot-5.mp4,567,10023625,0.016539758457883764,0.013607092500306313,0.06287012979411132,0.0984418527237639,0.1068988747519567,0.11657396831689885,1
2026-06-06T15:22:09.553913,pushup,good 1 flip rot-5.mp4,629,10026208,0.02199380434366988,0.004506642756129319,0.054854590159163025,0.0487042582983264,0.10510960729115015,0.13173922388872333,1
2026-06-06T15:22:12.360728,pushup,good 1 flip rot10.mp4,72,20003000,0.028928688579202527,0.014682480756889067,0.06340142811577971,0.0573842628283236,0.1158205541772758,0.13468503750832597,1
2026-06-06T15:22:13.910322,pushup,good 1 flip rot10.mp4,136,20005666,0.007041476789039809,0.0006600576864621783,0.09658569497692618,0.0906030290612554,0.10327528698828421,0.140922233946235,1
2026-06-06T15:22:15.309390,pushup,good 1 flip rot10.mp4,194,20008083,0.027584289350022745,0.014801569482186633,0.058984431165605054,0.064148580457428,0.1048057873433316,0.13020817993370298,1
2026-06-06T15:22:16.704783,pushup,good 1 flip rot10.mp4,252,20010500,0.01600544993054975,0.009607728327824888,0.061896355029450616,0.05632325407694751,0.10577095547851761,0.12987825805197875,1
2026-06-06T15:22:18.364848,pushup,good 1 flip rot10.mp4,320,20013333,0.010016951252915074,0.011297291194863337,0.07023732627000435,0.04783891121568882,0.11412620039264143,0.13458359699916841,1
2026-06-06T15:22:19.739606,pushup,good 1 flip rot10.mp4,377,20015708,0.02366199946930088,0.0013739271278660837,0.06866319169854873,0.11716441619374915,0.1035223287940258,0.12687148814531,1
2026-06-06T15:22:21.353543,pushup,good 1 flip rot10.mp4,444,20018500,0.022051278541226318,0.01865917466796346,0.06774187094169512,0.04265061062823453,0.11447056556115004,0.13185029169438578,1
2026-06-06T15:22:22.855383,pushup,good 1 flip rot10.mp4,506,20021083,0.0035166081530535304,0.016683317243694075,0.047807669560148466,0.0282492966719005,0.09642597157090221,0.12033105512655307,1
2026-06-06T15:22:24.320676,pushup,good 1 flip rot10.mp4,567,20023625,0.023512984717419003,0.0068636844751766525,0.057562559928112336,0.11279203407326151,0.1286909196096038,0.11381427934458188,1
2026-06-06T15:22:25.819590,pushup,good 1 flip rot10.mp4,629,20026208,0.027229680754951118,0.006699009350314443,0.05541102620095038,0.06005904466939998,0.10673865358463432,0.12422774921808781,1
2026-06-06T15:22:28.665674,pushup,good 1 flip rot5.mp4,72,30003000,0.01847267961911063,0.009486142397687329,0.06907666520950245,0.0708819543811077,0.1078745214882202,0.13318958981938758,1
2026-06-06T15:22:30.215714,pushup,good 1 flip rot5.mp4,136,30005666,0.002996776258228812,0.012086978828947176,0.07599267221890782,0.056019807365731755,0.10125600732748355,0.13637187083936128,1
2026-06-06T15:22:31.596204,pushup,good 1 flip rot5.mp4,193,30008041,0.023484899620831508,0.009412655472729974,0.06150312539912743,0.06205476390650043,0.11040816532876574,0.13428482825915036,1
2026-06-06T15:22:33.022800,pushup,good 1 flip rot5.mp4,252,30010500,0.008907920361190392,0.0037738999130724512,0.05664845304906527,0.04522424559400726,0.11227275401109772,0.13171226553285445,1
2026-06-06T15:22:34.673659,pushup,good 1 flip rot5.mp4,320,30013333,0.006332481472322207,0.008471808034424488,0.06589356850762881,0.04211916606420546,0.10731576936580423,0.1294566466038752,1
